time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2021-10-27,20.8,11.9,29.9,0.0,,,5.9,,1017.8,,Antananarivo
2021-10-28,20.8,15.3,29.2,2.7,,,10.9,,1012.8,,Antananarivo
2021-10-29,17.0,14.4,21.9,2.8,,,11.2,,1014.0,,Antananarivo
2021-10-30,18.5,13.5,25.1,0.9,,,9.7,,1014.8,,Antananarivo
2021-10-31,20.1,15.1,26.2,0.1,,,8.6,,1016.2,,Antananarivo
2021-11-01,21.0,14.9,28.8,0.0,,,7.9,,1015.3,,Antananarivo
2021-11-02,21.5,14.6,28.3,0.1,,,6.9,,1015.3,,Antananarivo
2021-11-03,21.2,14.8,28.8,2.0,,,5.8,,1016.7,,Antananarivo
2021-11-04,23.4,16.1,30.9,0.0,,,4.7,,1015.7,,Antananarivo
2021-11-05,23.3,16.0,32.1,0.1,,,9.8,,1015.1,,Antananarivo
2021-11-06,21.9,17.6,29.6,0.7,,,11.0,,1015.8,,Antananarivo
2021-11-07,21.0,17.5,27.5,2.9,,,9.8,,1016.0,,Antananarivo
2021-11-08,22.4,17.3,29.9,0.0,,,9.5,,1016.0,,Antananarivo
2021-11-09,22.6,15.0,31.6,0.0,,,5.2,,1017.1,,Antananarivo
2021-11-10,23.7,17.6,32.0,0.0,,,8.0,,1016.1,,Antananarivo
2021-11-11,24.2,18.7,32.9,0.0,,,6.5,,1013.5,,Antananarivo
2021-11-12,22.4,16.7,29.6,0.0,,,10.0,,1014.6,,Antananarivo
2021-11-13,22.4,14.8,30.7,0.0,,,8.7,,1016.3,,Antananarivo
2021-11-14,22.7,16.2,30.9,0.1,,,7.7,,1017.2,,Antananarivo
2021-11-15,23.0,16.6,31.0,0.1,,,7.1,,1016.3,,Antananarivo
2021-11-16,22.4,16.1,29.7,0.5,,,8.7,,1014.9,,Antananarivo
2021-11-17,22.6,15.6,30.4,0.0,,,9.0,,1015.6,,Antananarivo
